title,type,source,episodes,status,airing,rating,score,scored_by,rank,popularity,members,favorites,studio,aired_from,aired_to,year,start_season,date_aired,duration_minutes,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,NA,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri,Average Rank of Related,Adaptation,Sequel,Side story,Alternative version,Prequel,Summary,Other,Spin-off,Alternative setting,Character,Parent story,Full story
Hanabi,Music,Music,1.0,Finished Airing,False,PG-13 - Teens 13 or older,5.98,150.0,7393.0,9923.0,405.0,2.0,unknown,2015-10-29 00:00:00,2015-10-29 00:00:00,2015.0,Fall,0 days 00:00:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4363.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuroshitsuji II Specials,Special,Manga,6.0,Finished Airing,False,PG-13 - Teens 13 or older,7.68,38423.0,1153.0,1108.0,74842.0,433.0,A-1 Pictures,2010-10-27 00:00:00,2011-05-25 00:00:00,2010.0,Fall,210 days 00:00:00,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1288.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Soukyuu no Fafner: Dead Aggressor - Exodus,TV,Original,13.0,Finished Airing,False,PG-13 - Teens 13 or older,7.44,4672.0,1870.0,3103.0,14731.0,59.0,SmallStudio,2015-01-09 00:00:00,2015-04-03 00:00:00,2015.0,Winter,84 days 00:00:00,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jokei Kazoku III: Himitsu - The Anime,OVA,Visual novel,1.0,Finished Airing,False,Rx - Hentai,6.33,552.0,12919.0,6956.0,1922.0,2.0,unknown,2014-11-07 00:00:00,2014-11-07 00:00:00,2014.0,Fall,0 days 00:00:00,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rockman.EXE,TV,Unknown,56.0,Finished Airing,False,PG-13 - Teens 13 or older,7.02,12259.0,3506.0,2417.0,23972.0,120.0,Xebec,2002-03-04 00:00:00,2003-03-31 00:00:00,2002.0,Spring,392 days 00:00:00,21.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zan Sayonara Zetsubou Sensei Bangaichi,OVA,Manga,2.0,Finished Airing,False,R - 17+ (violence & profanity),7.88,11229.0,750.0,2257.0,26896.0,28.0,Shaft,2009-11-17 00:00:00,2010-02-17 00:00:00,2009.0,Fall,92 days 00:00:00,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miss Monochrome: The Animation - Soccer-hen,ONA,Original,1.0,Finished Airing,False,G - All Ages,6.29,3538.0,6440.0,4461.0,6233.0,1.0,SmallStudio,2014-06-17 00:00:00,2014-06-17 00:00:00,2014.0,Summer,0 days 00:00:00,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2749.8333333333335,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hitozuma Life: One Time Gal,OVA,Manga,2.0,Finished Airing,False,Rx - Hentai,6.21,676.0,12919.0,7169.0,1727.0,5.0,unknown,2017-09-08 00:00:00,2017-12-08 00:00:00,2017.0,Fall,91 days 00:00:00,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1804.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magical Nyan Nyan Taruto,TV,Unknown,12.0,Finished Airing,False,G - All Ages,6.37,1295.0,6129.0,5091.0,4500.0,9.0,SmallStudio,2001-07-05 00:00:00,2001-09-27 00:00:00,2001.0,Summer,84 days 00:00:00,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Masuda Kousuke Gekijou Gag Manga Biyori 2,TV,Manga,12.0,Finished Airing,False,PG-13 - Teens 13 or older,7.42,917.0,1940.0,6632.0,2221.0,2.0,SmallStudio,2006-08-05 00:00:00,2006-10-21 00:00:00,2006.0,Summer,77 days 00:00:00,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Yotsunoha,OVA,Visual novel,2.0,Finished Airing,False,PG-13 - Teens 13 or older,6.44,4673.0,5859.0,3789.0,9325.0,11.0,SmallStudio,2008-02-29 00:00:00,2008-03-28 00:00:00,2008.0,Winter,28 days 00:00:00,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pokemon XY&Z,TV,Game,47.0,Finished Airing,False,PG - Children,7.8,16342.0,884.0,2050.0,31558.0,361.0,OLM,2015-10-29 00:00:00,2016-10-27 00:00:00,2015.0,Fall,364 days 00:00:00,23.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4835.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heavy Object,TV,Light novel,24.0,Finished Airing,False,PG-13 - Teens 13 or older,7.38,35792.0,2110.0,913.0,93944.0,319.0,SmallStudio,2015-10-03 00:00:00,2016-03-26 00:00:00,2015.0,Fall,175 days 00:00:00,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2121.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Owari no Seraph: Kyuuketsuki Shahar,OVA,Manga,1.0,Finished Airing,False,R - 17+ (violence & profanity),7.22,13362.0,2739.0,1997.0,32991.0,63.0,SmallStudio,2016-05-02 00:00:00,2016-05-02 00:00:00,2016.0,Spring,0 days 00:00:00,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3386.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Osomatsu-kun,TV,Manga,56.0,Finished Airing,False,PG - Children,6.86,242.0,4084.0,6816.0,2038.0,19.0,SmallStudio,1966-02-05 00:00:00,1967-03-25 00:00:00,1966.0,Winter,413 days 00:00:00,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scared Rider Xechs,TV,Visual novel,12.0,Finished Airing,False,PG-13 - Teens 13 or older,5.31,2727.0,8676.0,3010.0,15589.0,19.0,Satelight,2016-07-06 00:00:00,2016-09-21 00:00:00,2016.0,Summer,77 days 00:00:00,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Platonic Chain: Web,Special,Novel,1.0,Finished Airing,False,PG-13 - Teens 13 or older,5.78,148.0,7851.0,9942.0,400.0,1.0,unknown,2003-09-14 00:00:00,2003-09-14 00:00:00,2003.0,Fall,0 days 00:00:00,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3944.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Night Head Genesis,TV,Manga,24.0,Finished Airing,False,R - 17+ (violence & profanity),6.85,7598.0,4118.0,2462.0,23285.0,56.0,SmallStudio,2006-06-17 00:00:00,2006-12-31 00:00:00,2006.0,Summer,197 days 00:00:00,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2199.3636363636365,1.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Muu no Hakugei,TV,Original,26.0,Finished Airing,False,PG-13 - Teens 13 or older,6.52,128.0,5523.0,9344.0,552.0,2.0,unknown,1980-04-04 00:00:00,1980-09-26 00:00:00,1980.0,Spring,175 days 00:00:00,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaonian Jinyiwei 2nd Season,ONA,Original,13.0,Finished Airing,False,PG-13 - Teens 13 or older,5.78,9.0,12021.0,13820.0,61.0,1.0,unknown,2017-09-18 00:00:00,2018-01-11 00:00:00,2017.0,Fall,115 days 00:00:00,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300.75,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
D-1 Devastator,OVA,Unknown,2.0,Finished Airing,False,R+ - Mild Nudity,5.7,87.0,7992.0,9764.0,438.0,1.0,unknown,1992-12-11 00:00:00,1993-02-26 00:00:00,1992.0,Winter,77 days 00:00:00,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uchuu Senshi Baldios,TV,Unknown,34.0,Finished Airing,False,PG-13 - Teens 13 or older,6.66,152.0,4949.0,8563.0,857.0,4.0,Production Reed,1980-06-30 00:00:00,1981-01-25 00:00:00,1980.0,Summer,209 days 00:00:00,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1383.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Moonlight Mile 2nd Season: Touch Down,TV,Manga,14.0,Finished Airing,False,R+ - Mild Nudity,7.46,1207.0,1779.0,5711.0,3368.0,8.0,Studio Hibari,2007-09-13 00:00:00,2007-12-13 00:00:00,2007.0,Fall,91 days 00:00:00,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaguya-hime no Monogatari,Movie,Other,1.0,Finished Airing,False,G - All Ages,8.32,34776.0,220.0,1106.0,74970.0,779.0,Studio Ghibli,2013-11-23 00:00:00,2013-11-23 00:00:00,2013.0,Fall,0 days 00:00:00,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3794.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ninkuu (Movie),Movie,Manga,1.0,Finished Airing,False,G - All Ages,6.19,462.0,6800.0,8175.0,1052.0,1.0,Studio Pierrot,1995-07-15 00:00:00,1995-07-15 00:00:00,1995.0,Summer,0 days 00:00:00,26.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
